File,HEADER(0)_cp_y, gs_y, cp_n, p,r,f,HEADER(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\List_of_settlements_in_Hertfordshire_by_population_65f9.html_0.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\List_of_Shopping_Centres_in_Australia_by_size_c80f.html_0.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\List_of_space_exploration_milestones,_1957-1969.html_2.xml.html.cell.keys",0.25,3.0,1.75,0.125,0.08333333333333333,0.1,0.375,3.0,1.625,0.1875,0.125,0.15,
"E:\Data\table_annotation\tmp\List_of_Star_Trek_characters_4bf8.html_1.xml.html.cell.keys",1.5,2.0,0.5,0.75,0.75,0.75,1.625,2.0,0.375,0.8125,0.8125,0.8125,
"E:\Data\table_annotation\tmp\List_of_Star_Trek_characters_4bf8.html_6.xml.html.cell.keys",3.333333333333333,4.0,0.6666666666666667,0.8333333333333333,0.8333333333333333,0.8333333333333333,3.666666666666667,4.0,0.33333333333333326,0.9166666666666667,0.9166666666666667,0.9166666666666667,
"E:\Data\table_annotation\tmp\List_of_Strawberry_Shortcake_video_games_cf93.html_0.xml.html.cell.keys",1.5,5.0,2.5,0.375,0.3,0.33333333333333326,2.25,5.0,1.75,0.5625,0.45,0.5,
"E:\Data\table_annotation\tmp\List_of_superlative_Academy_Award_winners_and_nominees_52c5.html_3.xml.html.cell.keys",1.75,2.0,0.25,0.875,0.875,0.875,1.875,2.0,0.125,0.9375,0.9375,0.9375,
"E:\Data\table_annotation\tmp\List_of_Test_cricket_grounds_ad94.html_9.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,0.5,2.0,1.5,0.25,0.25,0.25,
"E:\Data\table_annotation\tmp\List_of_The_Daily_Show_guests_(1998)_c8e2.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.25,2.0,0.75,0.25,0.125,0.16666666666666666,
"E:\Data\table_annotation\tmp\List_of_The_Daily_Show_guests_(2006)_270c.html_11.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\List_of_trolleybus_systems_in_the_United_Kingdom_e871.html_8.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.375,1.0,0.625,0.375,0.375,0.375,
"E:\Data\table_annotation\tmp\List_of_victims_of_Nazism_be15.html_5.xml.html.cell.keys",1.5,5.0,1.5,0.5,0.3,0.37499999999999994,1.75,5.0,1.25,0.5833333333333334,0.35,0.4375,
"E:\Data\table_annotation\tmp\Longitude_prize.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.75,0.25,0.25,0.25,
"E:\Data\table_annotation\tmp\Miami_Heat_all-time_roster_6676.html_1.xml.html.cell.keys",0.3333333333333333,5.0,2.666666666666667,0.11111111111111109,0.06666666666666667,0.08333333333333333,1.6666666666666665,5.0,1.3333333333333335,0.5555555555555555,0.3333333333333333,0.41666666666666663,
"E:\Data\table_annotation\tmp\Michael_Tuck_Medal_ce06.html_0.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\Ministry_for_the_Environment_(New_Zealand)_8425.html_0.xml.html.cell.keys",0.0,5.0,3.0,0.0,0.0,0.0,0.6666666666666666,5.0,2.3333333333333335,0.2222222222222222,0.13333333333333333,0.16666666666666669,
"E:\Data\table_annotation\tmp\Minnesota's_7th_congressional_district.html_0.xml.html.cell.keys",0.6666666666666666,3.0,1.3333333333333335,0.3333333333333333,0.2222222222222222,0.26666666666666666,1.1666666666666665,3.0,0.8333333333333334,0.5833333333333333,0.38888888888888884,0.4666666666666666,
"E:\Data\table_annotation\tmp\Moorish_Revival_2c45.html_0.xml.html.cell.keys",0.0,4.0,3.0,0.0,0.0,0.0,1.25,4.0,1.75,0.4166666666666667,0.3125,0.35714285714285715,
"E:\Data\table_annotation\tmp\Municipality_numbers_of_Norway_c032.html_14.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Nashville,_Tennessee_0fa5.html_2.xml.html.cell.keys",1.1242424242424243,5.0,2.875757575757576,0.28106060606060607,0.22484848484848485,0.24983164983164988,1.5909090909090908,5.0,2.409090909090909,0.3977272727272727,0.3181818181818182,0.35353535353535354,
"E:\Data\table_annotation\tmp\Norm_Smith_Medal_7f49.html_0.xml.html.cell.keys",0.0,4.0,3.0,0.0,0.0,0.0,0.5,4.0,2.5,0.16666666666666666,0.125,0.14285714285714288,
"E:\Data\table_annotation\tmp\Northstate_Public_Radio_c974.html_0.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\North_Cascades_720f.html_1.xml.html.cell.keys",0.3333333333333333,4.0,1.6666666666666667,0.16666666666666666,0.08333333333333333,0.1111111111111111,1.0,4.0,1.0,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\N_(Poland)_5014.html_2.xml.html.cell.keys",1.5428571428571427,5.0,3.4571428571428573,0.30857142857142855,0.30857142857142855,0.30857142857142855,1.6321428571428571,5.0,3.367857142857143,0.3264285714285714,0.3264285714285714,0.3264285714285714,
"E:\Data\table_annotation\tmp\Orlando_Magic_all-time_roster_a0ec.html_2.xml.html.cell.keys",0.0,6.0,4.0,0.0,0.0,0.0,1.5,6.0,2.5,0.375,0.25,0.3,
"E:\Data\table_annotation\tmp\Padma_Bhushan_89ce.html_5.xml.html.cell.keys",0.8245614035087718,4.0,3.175438596491228,0.20614035087719296,0.20614035087719296,0.20614035087719296,1.7894736842105263,4.0,2.2105263157894735,0.4473684210526316,0.4473684210526316,0.4473684210526316,
"E:\Data\table_annotation\tmp\Panasonic_Open_12e3.html_7.xml.html.cell.keys",0.5,1.0,0.5,0.5,0.5,0.5,0.75,1.0,0.25,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\Portal~Government_of_India_Selected_lists_January,_2007_ca64.html_0.xml.html.cell.keys",1.0,3.0,1.0,0.5,0.3333333333333333,0.4,1.5,3.0,0.5,0.75,0.5,0.6,
"E:\Data\table_annotation\tmp\Praetorian_prefect.html_1.xml.html.cell.keys",1.2,2.0,0.8,0.6,0.6,0.6,1.4,2.0,0.6,0.7,0.7,0.7,
"E:\Data\table_annotation\tmp\Prime_Minister_of_Lithuania_77b7.html_0.xml.html.cell.keys",0.3333333333333333,4.0,1.6666666666666667,0.16666666666666666,0.08333333333333333,0.1111111111111111,1.0,4.0,1.0,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\Prime_Minister_of_Serbia_and_Montenegro_49ee.html_0.xml.html.cell.keys",0.5,5.0,1.5,0.25,0.1,0.14285714285714288,1.25,5.0,0.75,0.625,0.25,0.35714285714285715,
"E:\Data\table_annotation\tmp\Progressive_Conservative_Party_of_Manitoba_fc22.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\Providence_County,_Rhode_Island_schools_9f43.html_1.xml.html.cell.keys",0.0,3.0,3.0,0.0,0.0,0.0,1.5,3.0,1.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Raymond_Kurzweil_cb80.html_0.xml.html.cell.keys",1.1666666666666667,3.0,0.8333333333333334,0.5833333333333334,0.3888888888888889,0.4666666666666666,1.3333333333333333,3.0,0.6666666666666667,0.6666666666666666,0.4444444444444444,0.5333333333333333,
"E:\Data\table_annotation\tmp\Reel_Fishing_41d8.html_0.xml.html.cell.keys",2.0,3.0,0.0,1.0,0.6666666666666666,0.8,2.0,3.0,0.0,1.0,0.6666666666666666,0.8,
"E:\Data\table_annotation\tmp\Religious_rejection_of_politics.html_0.xml.html.cell.keys",1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Republican_Conference_Chairman_of_the_United_States_Senate_7b0c.html_0.xml.html.cell.keys",0.11764705882352941,3.0,1.8823529411764706,0.058823529411764705,0.0392156862745098,0.047058823529411764,0.8529411764705883,3.0,1.1470588235294117,0.42647058823529416,0.2843137254901961,0.3411764705882353,
"E:\Data\table_annotation\tmp\Rookie_Challenge_4618.html_0.xml.html.cell.keys",0.3333333333333333,2.0,0.6666666666666667,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.6666666666666666,2.0,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.4444444444444444,
"E:\Data\table_annotation\tmp\Rum_Patrol_00dd.html_0.xml.html.cell.keys",2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\San_Jose,_California_e18c.html_1.xml.html.cell.keys",1.3333333333333333,5.0,2.666666666666667,0.3333333333333333,0.26666666666666666,0.2962962962962963,2.0,5.0,2.0,0.5,0.4,0.4444444444444445,
"E:\Data\table_annotation\tmp\Saracens_F.C._e62c.html_1.xml.html.cell.keys",0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,
"E:\Data\table_annotation\tmp\Saturn_Award_for_Best_Actress_on_Television_93d9.html_0.xml.html.cell.keys",0.8333333333333333,3.0,1.1666666666666667,0.41666666666666663,0.27777777777777773,0.33333333333333326,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\Schmeisser_Award_5609.html_1.xml.html.cell.keys",0.16666666666666666,1.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4166666666666667,1.0,0.5833333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,
"E:\Data\table_annotation\tmp\Selwyn_County,_New_South_Wales_a9b2.html_0.xml.html.cell.keys",0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\Shooting_at_the_2006_Asian_Games_b90e.html_15.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\SK_Brann_2007_a99d.html_5.xml.html.cell.keys",0.0,4.0,2.0,0.0,0.0,0.0,0.5,4.0,1.5,0.25,0.125,0.16666666666666666,
"E:\Data\table_annotation\tmp\Southern_Connecticut_Conference_7bce.html_1.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Southwest_Division_(NBA)_a04f.html_0.xml.html.cell.keys",0.2,1.0,0.8,0.2,0.2,0.20000000000000004,0.4,1.0,0.6,0.4,0.4,0.4000000000000001,
"E:\Data\table_annotation\tmp\Space_Shuttle_Atlantis_0a51.html_0.xml.html.cell.keys",0.3333333333333333,4.0,1.6666666666666667,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.3333333333333333,4.0,1.6666666666666667,0.16666666666666666,0.08333333333333333,0.1111111111111111,
"E:\Data\table_annotation\tmp\Space_Shuttle_Columbia_ffaa.html_0.xml.html.cell.keys",1.25,3.0,0.75,0.625,0.4166666666666667,0.5,1.25,3.0,0.75,0.625,0.4166666666666667,0.5,
"E:\Data\table_annotation\tmp\Star_Screen_Award_for_Best_Supporting_Actress_4a19.html_0.xml.html.cell.keys",1.5,3.0,0.5,0.75,0.5,0.6,1.75,3.0,0.25,0.875,0.5833333333333334,0.7000000000000001,
"E:\Data\table_annotation\tmp\State_of_the_Union_(film)_2b85.html_0.xml.html.cell.keys",0.5,3.0,2.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.75,3.0,2.25,0.25,0.25,0.25,
"E:\Data\table_annotation\tmp\Sten_Stensen_2a1f.html_1.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Sydney_Airport_05b8.html_1.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Tennis_statistics.html_5.xml.html.cell.keys",0.6739130434782609,4.0,2.3260869565217392,0.2246376811594203,0.16847826086956522,0.19254658385093168,1.5108695652173914,4.0,1.4891304347826086,0.5036231884057971,0.37771739130434784,0.43167701863354035,
"E:\Data\table_annotation\tmp\Test_matches_(1991-2000).html_6.xml.html.cell.keys",0.4318181818181818,3.0,2.5681818181818183,0.14393939393939395,0.14393939393939395,0.14393939393939395,1.1477272727272727,3.0,1.8522727272727273,0.38257575757575757,0.38257575757575757,0.3825757575757575,
"E:\Data\table_annotation\tmp\The_Bachelor~_Officer_and_a_Gentleman_ae4b.html_0.xml.html.cell.keys",0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,
"E:\Data\table_annotation\tmp\The_Get_Up_Kids_b93f.html_0.xml.html.cell.keys",2.25,4.0,0.75,0.75,0.5625,0.6428571428571429,2.5,4.0,0.5,0.8333333333333334,0.625,0.7142857142857143,
"E:\Data\table_annotation\tmp\Timber_Lake_4724.html_2.xml.html.cell.keys",0.0,5.0,3.0,0.0,0.0,0.0,1.375,5.0,1.625,0.4583333333333333,0.275,0.34374999999999994,
"E:\Data\table_annotation\tmp\Tri-state_area.html_2.xml.html.cell.keys",0.0,3.0,3.0,0.0,0.0,0.0,1.5,3.0,1.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\UEFA_Euro_1996_squads_be67.html_2.xml.html.cell.keys",0.5,4.0,2.5,0.16666666666666666,0.125,0.14285714285714288,1.0,4.0,2.0,0.3333333333333333,0.25,0.28571428571428575,
"E:\Data\table_annotation\tmp\UEFA_Euro_2004_squads_d586.html_7.xml.html.cell.keys",0.3333333333333333,4.0,2.666666666666667,0.11111111111111109,0.08333333333333333,0.09523809523809523,0.6666666666666666,4.0,2.3333333333333335,0.2222222222222222,0.16666666666666666,0.1904761904761905,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1904_5307.html_1.xml.html.cell.keys",0.125,4.0,2.875,0.041666666666666664,0.03125,0.03571428571428572,1.0,4.0,2.0,0.3333333333333333,0.25,0.28571428571428575,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1910_d7d7.html_1.xml.html.cell.keys",0.2,4.0,2.8,0.06666666666666667,0.05,0.05714285714285715,0.9333333333333332,4.0,2.066666666666667,0.31111111111111106,0.2333333333333333,0.2666666666666666,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1956_d204.html_1.xml.html.cell.keys",0.125,4.0,2.875,0.041666666666666664,0.03125,0.03571428571428572,1.25,4.0,1.75,0.4166666666666667,0.3125,0.35714285714285715,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1994_4425.html_30.xml.html.cell.keys",0.125,4.0,2.875,0.041666666666666664,0.03125,0.03571428571428572,1.25,4.0,1.75,0.4166666666666667,0.3125,0.35714285714285715,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1994_4425.html_42.xml.html.cell.keys",0.125,5.0,3.875,0.03125,0.025,0.02777777777777778,1.3382352941176472,5.0,2.661764705882353,0.3345588235294118,0.26764705882352946,0.29738562091503273,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_2000_ddc3.html_2.xml.html.cell.keys",0.4583333333333333,4.0,2.541666666666667,0.15277777777777776,0.11458333333333333,0.13095238095238093,1.0833333333333333,4.0,1.9166666666666667,0.3611111111111111,0.2708333333333333,0.3095238095238095,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_2002_02b9.html_4.xml.html.cell.keys",0.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,0.3333333333333333,0.25,0.28571428571428575,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_2006_-_complete_list_c80b.html_1.xml.html.cell.keys",0.3333333333333333,5.0,3.666666666666667,0.08333333333333333,0.06666666666666667,0.07407407407407407,1.5,5.0,2.5,0.375,0.3,0.33333333333333326,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_2008_-_complete_list_f1be.html_44.xml.html.cell.keys",0.5,1.0,0.5,0.5,0.5,0.5,0.75,1.0,0.25,0.75,0.75,0.75,
"E:\Data\table_annotation\tmp\United_States_Senate_elections,_2008_9587.html_1.xml.html.cell.keys",0.0,5.0,5.0,0.0,0.0,0.0,2.0,5.0,3.0,0.4,0.4,0.4000000000000001,
"E:\Data\table_annotation\tmp\United_States_Senate_elections,_2010_535c.html_0.xml.html.cell.keys",0.5833333333333333,4.0,3.416666666666667,0.14583333333333331,0.14583333333333331,0.14583333333333331,2.0416666666666665,4.0,1.9583333333333335,0.5104166666666666,0.5104166666666666,0.5104166666666666,
"E:\Data\table_annotation\tmp\Vehicle_registration_plates_of_Macedonia_8570.html_1.xml.html.cell.keys",0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Vernon_County,_New_South_Wales_dedd.html_0.xml.html.cell.keys",0.2857142857142857,3.0,1.7142857142857144,0.14285714285714285,0.09523809523809523,0.11428571428571427,0.6428571428571429,3.0,1.3571428571428572,0.32142857142857145,0.2142857142857143,0.2571428571428571,
"E:\Data\table_annotation\tmp\Wasseramt.html_0.xml.html.cell.keys",0.0,3.0,1.0,0.0,0.0,0.0,0.5,3.0,0.5,0.5,0.16666666666666666,0.25,
"E:\Data\table_annotation\tmp\Wisconsin_Intercollegiate_Athletic_Conference_a2ff.html_0.xml.html.cell.keys",0.25,5.0,3.75,0.0625,0.05,0.05555555555555556,1.5,5.0,2.5,0.375,0.3,0.33333333333333326,
"E:\Data\table_annotation\tmp\Wisden_100.html_0.xml.html.cell.keys",0.0,5.0,4.0,0.0,0.0,0.0,1.0,5.0,3.0,0.25,0.2,0.22222222222222224,
"E:\Data\table_annotation\tmp\Wisden_100.html_3.xml.html.cell.keys",0.4,4.0,3.6,0.1,0.1,0.10000000000000002,1.1,4.0,2.9,0.275,0.275,0.275,
"E:\Data\table_annotation\tmp\WNBA_Expansion_Draft_History_0a5f.html_4.xml.html.cell.keys",0.9807692307692308,6.0,4.019230769230769,0.19615384615384618,0.16346153846153846,0.1783216783216783,2.6730769230769234,6.0,2.3269230769230766,0.5346153846153847,0.44551282051282054,0.4860139860139861,
"E:\Data\table_annotation\tmp\X_the_album.html_11.xml.html.cell.keys",2.5,3.0,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,2.5,3.0,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,
"E:\Data\table_annotation\tmp\X_the_album.html_2.xml.html.cell.keys",2.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,
"E:\Data\table_annotation\tmp\Zee_Cine_Award_for_Best_Actor_-_Male_2c86.html_0.xml.html.cell.keys",0.8222222222222222,3.0,1.1777777777777778,0.4111111111111111,0.2740740740740741,0.3288888888888889,1.0333333333333332,3.0,0.9666666666666668,0.5166666666666666,0.3444444444444444,0.4133333333333333,
