File,REL(0)_cp_y, gs_y, cp_n, p,r,f,REL(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\Tennis_statistics.html_5.xml.html.cell.keys",2.0,3.0,0.0,1.0,0.6666666666666666,0.8,2.0,3.0,0.0,1.0,0.6666666666666666,0.8,
"E:\Data\table_annotation\tmp\The_Bachelor~_Officer_and_a_Gentleman_ae4b.html_0.xml.html.cell.keys",0.5,2.0,0.5,0.5,0.25,0.3333333333333333,0.75,2.0,0.25,0.75,0.375,0.5,
"E:\Data\table_annotation\tmp\The_Get_Up_Kids_b93f.html_0.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\Timber_Lake_4724.html_2.xml.html.cell.keys",0.0,6.0,0.0,0.0,0.0,0.0,0.5,6.0,0.5,0.5,0.08333333333333333,0.14285714285714285,
"E:\Data\table_annotation\tmp\UEFA_Euro_1996_squads_be67.html_2.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\UEFA_Euro_2004_squads_d586.html_7.xml.html.cell.keys",0.5,2.0,0.5,0.5,0.25,0.3333333333333333,0.75,2.0,0.25,0.75,0.375,0.5,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1904_5307.html_1.xml.html.cell.keys",1.5,3.0,0.5,0.75,0.5,0.6,1.75,3.0,0.25,0.875,0.5833333333333334,0.7000000000000001,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1910_d7d7.html_1.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1956_d204.html_1.xml.html.cell.keys",1.0,3.0,1.0,0.5,0.3333333333333333,0.4,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1994_4425.html_30.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.5,3.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_1994_4425.html_42.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.5,3.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_2000_ddc3.html_2.xml.html.cell.keys",1.0,3.0,1.0,0.5,0.3333333333333333,0.4,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_2002_02b9.html_4.xml.html.cell.keys",0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.5,0.6666666666666666,0.3333333333333333,0.4444444444444444,
"E:\Data\table_annotation\tmp\United_States_House_of_Representatives_elections,_2006_-_complete_list_c80b.html_1.xml.html.cell.keys",1.0,3.0,1.0,0.5,0.3333333333333333,0.4,1.0,3.0,1.0,0.5,0.3333333333333333,0.4,
"E:\Data\table_annotation\tmp\United_States_Senate_elections,_2008_9587.html_1.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\United_States_Senate_elections,_2010_535c.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.5,2.0,0.0,1.0,0.75,0.8571428571428571,
"E:\Data\table_annotation\tmp\Vehicle_registration_plates_of_Macedonia_8570.html_1.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Vernon_County,_New_South_Wales_dedd.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Wasseramt.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Wisconsin_Intercollegiate_Athletic_Conference_a2ff.html_0.xml.html.cell.keys",2.0,4.0,0.0,1.0,0.5,0.6666666666666666,2.0,4.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Wisden_100.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Wisden_100.html_3.xml.html.cell.keys",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\WNBA_Expansion_Draft_History_0a5f.html_4.xml.html.cell.keys",2.0,5.0,0.0,1.0,0.4,0.5714285714285715,2.0,5.0,0.0,1.0,0.4,0.5714285714285715,
"E:\Data\table_annotation\tmp\X_the_album.html_11.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\X_the_album.html_2.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Zee_Cine_Award_for_Best_Actor_-_Male_2c86.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
